,2000 Forest area (% of land area),2000 GDP per capita (constant 2010 US$),2005 Forest area (% of land area),,2005 GDP per capita (constant 2010 US$),2010 Forest area (% of land area),2010 GDP per capita (constant 2010 US$),2015 Forest area (% of land area),2015 GDP per capita (constant 2010 US$)
Uzbekistan,7.6,813.2,7.7,,996.9,7.7,"1,377.1",7.6,"1,851.5"
Vanuatu,36.1,"2,839.9",36.1,,"2,625.3",36.1,"2,965.8",36.1,"2,823.7"
,,,,,,,,,
Vietnam,37.7,761.6,42.2,,"1,012.4",45.6,"1,310.4",47.6,"1,651.2"
Virgin Islands (U.S.),58.5,..,53.5,,"39,026.7",51.9,"40,043.2",50.3,"29,389.1"
West Bank and Gaza,1.5,"2,355.6",1.5,,"2,524.3",1.5,"2,338.7",1.5,"2,641.8"
"Yemen, Rep.",1.0,"1,138.2",1.0,,"1,214.7",1.0,"1,309.2",1.0,674.9
Zambia,68.8,938.4,67.7,,"1,107.7",66.5,"1,463.2",65.4,"1,618.5"
Zimbabwe,48.8,"1,261.2",44.6,,811.6,40.4,720.0,36.4,933.5
"Created from: World Development Indicators
",,,,,,,,,"=J:J+J:J+I8=MEDIAN(IF(J2:J218<>0,J2:J218))"
